seed,model,macro_precision,macro_recall_ba,macro_f1,overall_accuracy,peloid_precision,peloid_recall,peloid_f1,peloid_support,ooid_precision,ooid_recall,ooid_f1,ooid_support,broken_ooid_precision,broken_ooid_recall,broken_ooid_f1,broken_ooid_support,intraclast_precision,intraclast_recall,intraclast_f1,intraclast_support
0,flat,0.7999660845055582,0.8987836438923396,0.8373605429955964,0.9565217391304348,0.9846491228070176,0.9760869565217392,0.980349344978166,460,0.918918918918919,0.8095238095238095,0.860759493670886,42,0.6666666666666666,1.0,0.8,6,0.6296296296296297,0.8095238095238095,0.7083333333333334,21
0,hier_no_tta,0.47424364636926786,0.7183747412008281,0.5063251260978345,0.7637051039697542,0.9754768392370572,0.7782608695652173,0.8657799274486093,460,0.5454545454545454,0.5714285714285714,0.5581395348837208,42,0.19047619047619047,0.6666666666666666,0.2962962962962963,6,0.18556701030927836,0.8571428571428571,0.3050847457627119,21
0,hier_tta,0.5633967495284167,0.8682971014492753,0.6150645319443274,0.8071833648393195,0.9946380697050938,0.8065217391304348,0.8907563025210085,460,0.6976744186046512,0.7142857142857143,0.7058823529411765,42,0.35294117647058826,1.0,0.5217391304347826,6,0.20833333333333334,0.9523809523809523,0.3418803418803419,21
1,flat,0.6291837031673694,0.7234213250517598,0.6689961337452157,0.9130434782608695,0.9774266365688488,0.941304347826087,0.9590254706533776,460,0.6226415094339622,0.7857142857142857,0.6947368421052631,42,0.3333333333333333,0.5,0.4,6,0.5833333333333334,0.6666666666666666,0.6222222222222222,21
1,hier_no_tta,0.546194037562324,0.7325569358178055,0.6111705968012334,0.8676748582230623,0.9806763285024155,0.8826086956521739,0.9290617848970252,460,0.5147058823529411,0.8333333333333334,0.6363636363636362,42,0.2727272727272727,0.5,0.3529411764705882,6,0.4166666666666667,0.7142857142857143,0.5263157894736842,21
1,hier_tta,0.6148418491484186,0.7812629399585921,0.6692333889162247,0.8846880907372401,0.9927007299270073,0.8869565217391304,0.9368541905855339,460,0.5857142857142857,0.9761904761904762,0.7321428571428572,42,0.5,0.5,0.5,6,0.38095238095238093,0.7619047619047619,0.5079365079365079,21
2,flat,0.6823783655139586,0.7147774327122154,0.6861149334067214,0.9224952741020794,0.9755555555555555,0.9543478260869566,0.9648351648351647,460,0.6440677966101694,0.9047619047619048,0.7524752475247525,42,0.5714285714285714,0.6666666666666666,0.6153846153846153,6,0.5384615384615384,0.3333333333333333,0.41176470588235287,21
2,hier_no_tta,0.6625602191316587,0.8142857142857143,0.7114104888679237,0.8865784499054821,0.9833729216152018,0.9,0.9398410896708285,460,0.782608695652174,0.8571428571428571,0.8181818181818182,42,0.625,0.8333333333333334,0.7142857142857143,6,0.25925925925925924,0.6666666666666666,0.37333333333333335,21
2,hier_tta,0.5752378158939621,0.6952639751552795,0.6176383901531539,0.9017013232514177,0.9906759906759907,0.9239130434782609,0.9561304836895388,460,0.7346938775510204,0.8571428571428571,0.7912087912087913,42,0.25,0.3333333333333333,0.28571428571428575,6,0.32558139534883723,0.6666666666666666,0.4375,21
3,flat,0.7378731842081812,0.6774585921325051,0.6854869683958638,0.945179584120983,0.9759825327510917,0.9717391304347827,0.9738562091503269,460,0.7755102040816326,0.9047619047619048,0.8351648351648353,42,0.5,0.16666666666666666,0.25,6,0.7,0.6666666666666666,0.6829268292682926,21
